2072,2208
2002,2117
1961,3033
1905,1822
1908,1862
2407,2618
1953,1952
2407,2208
3033,2042
3303,2658
1887,2208
2075,2165
1953,1884
2037,2158
2022,2938
2075,2034
2022,3150
1887,1794
2032,2618
2687,2864
3212,2540
1966,1981
2037,2115
2075,2132
2124,2101
1953,2608
2657,2656
1953,2609
1953,2837
1882,2032
3016,3014
1953,3057
2037,1927
1905,1820
1953,3061
2000,1927
1794,2072
3142,2441
2558,2559
2075,2086
2687,1884
1961,2014
2115,2407
2728,1862
2777,2769
3314,2683
2417,2943
2889,3245
2236,2973
1999,1975
3075,3080
1858,2143
2075,2022
2115,2032
3118,3184
2720,2218
2117,2265
2028,3033
1807,2052
2802,2856
2922,2923
2797,2802
2002,2850
2739,2483
1927,1933
2811,2824
3243,3268
1900,2159
2415,2925
1927,2058
2037,1908
3118,3221
2080,3184
2135,3313
2625,2624
2687,2925
2732,1794
1922,3355
3184,3221
3305,2925
3313,2993
2433,2115
1901,1794
2513,2019
2587,1975
2680,2769
2406,1949
3118,2159
1968,2042
1822,2104
2158,2032
2818,2304
2115,1862
2139,2862
2909,2908
1891,2117
3212,2159
2496,2492
3342,1847
2617,2171
2726,1978
2253,1999
2770,1808
2633,3168
2730,2617
1902,2726
1891,2019
2385,2220
2878,3211
1847,2104
2878,3226
2027,2407
2008,2042
2436,2122
2848,1996
2008,1807
1929,2158
2008,1971
1803,3342
1996,2789
2613,2009
3185,3221
2433,2027
2052,1912
1877,1794
1978,2262
2803,2805
2498,2900
2803,1801
1906,2213
2233,1978
3007,1833
2139,2433
2186,2159
2203,1822
2701,2699
2788,2498
2871,1936
2520,2522
3226,2498
2804,2803
2436,2310
3098,1978
3118,2121
3305,2159
1943,2068
2113,2946
3305,2540
2487,2849
2690,1966
2176,2731
1900,2121
1927,2106
2139,2818
1975,2238
1823,2306
3205,3206
2121,2671
1823,2076
2687,2104
1888,2121
1868,2917
2820,2069
1983,2159
2962,1952
3019,3313
2051,1999
2002,1858
2391,2578
2796,2498
1952,2862
1987,1903
3305,1795
1813,2388
1891,2029
2540,2681
2962,2862
2203,2040
2860,2106
1807,2243
2037,1862
2500,3025
2681,2223
2037,2021
2521,2525
1929,1908
1900,2540
2135,3221
1900,2135
1833,2040
1884,2044
3162,2524
2159,2671
1896,1809
1943,1809
2785,1903
1869,2058
1803,2040
3308,2505
1892,1833
3151,2159
2031,2993
2521,2524
3162,2525
2827,2159
1949,1847
1922,2540
2051,1929
1858,2850
2540,2671
3151,2540
2848,1884
2243,1884
2135,2031
1922,2159
2022,2083
1827,3254
2640,2550
3342,1833
1888,2993
2687,1795
1902,3098
1900,2993
1877,1966
1887,2159
3213,2540
2135,2080
1888,2159
2117,2300
2159,3186
1827,3256
1929,2628
2492,3207
3310,2505
3213,2159
1995,1809
2064,2203
2492,3206
2083,2238
1836,2104
2687,2540
2304,1996
2415,3305
1953,2789
1885,1897
2374,1897
2628,2510
1996,1884
3237,2338
3340,2700
2076,2917
3019,2044
2115,2069
1981,1980
3356,3319
1892,1996
2836,2680
2217,2273
2520,2525
1923,2628
2005,2132
2090,1879
1795,1830
2083,1812
2037,2051
2524,2520
2907,1865
3308,2072
3342,3263
2982,2216
1837,2486
1927,2310
3234,3207
2654,2083
2051,2082
3207,2493
1813,1897
1906,2618
3384,3385
3117,2540
2090,2982
1927,2540
2836,2777
1888,2540
1927,2159
1953,1996
3166,3169
2819,3355
1844,2925
2845,3245
2793,2794
2633,3167
3170,3168
3245,2846
2117,2622
2524,2522
2613,1929
2904,2437
2233,2731
3165,3169
2522,2525
2021,1862
3169,3168
2785,1874
1944,2884
2135,1814
2818,2571
3165,2633
1953,2598
3170,3167
2244,1981
1929,2070
2021,2729
2075,2158
1953,2600
2600,2777
3165,3170
3050,1809
